Fuel,Hydrogen Source,Carbon Source,Electricity Source,Pathway Name,Region,Year,CapEx [$/tonne],OpEx [$/tonne],LCOF [$/tonne],Emissions [kg CO2e / kg fuel],Comment
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Hungary,2024,582.2021779328095,5363.117879962373,5945.320057895183,-1.3929226757566802,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Norway,2024,834.8678417326544,5390.3625713345455,6225.2304130672,-1.43572690085432,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Poland,2024,589.1331562415335,3083.31932891359,3672.4524851551237,-1.2802540832582952,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Sweden,2024,763.667791833945,3387.958210886077,4151.6260027200215,-1.4330208866240093,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Oman,2024,601.7349349846679,5307.61641752176,5909.351352506428,-1.3041162087437606,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,United Arab Emirates,2024,601.7349349846679,2110.3892799302935,2712.124214914961,-1.3287163381102207,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Malaysia,2024,551.3278200121304,1398.4575308192207,1949.785350831351,-1.4172768038294754,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Saudi Arabia,2024,601.7349349846679,708.5017043182784,1310.2366393029463,-1.3346203691581708,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Greece,2024,579.6818221841826,4084.9311577144576,4664.61297989864,-1.360204503699289,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Austria,2024,655.2924946429893,5010.742227072804,5666.034721715793,-1.4158007960674879,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Switzerland,2024,696.2482755581759,6586.412111360125,7282.660386918301,-1.434496894385997,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Portugal,2024,573.3809328126155,4512.78044557718,5086.161378389796,-1.402270724915935,Liquid methanol at STP
FTdiesel,LTE,DAC,grid,LTE_H_DAC_C_grid_E,United States,2024,678.10165,4928.460296448243,5606.561946448242,9.027153567637285,Liquid methanol at STP
FTdiesel,LTE,DAC,grid,LTE_H_DAC_C_grid_E,Brazil,2024,691.663683,4165.707129645047,4857.3708126450465,0.1789829931275846,Liquid methanol at STP
FTdiesel,LTE,DAC,grid,LTE_H_DAC_C_grid_E,Canada,2024,603.5104685,4144.9023573718405,4748.41282587184,2.5297884594179845,Liquid methanol at STP
FTdiesel,LTE,DAC,grid,LTE_H_DAC_C_grid_E,Mexico,2024,549.2623365,6721.489644789359,7270.751981289359,13.532864044693884,Liquid methanol at STP
FTdiesel,LTE,DAC,grid,LTE_H_DAC_C_grid_E,Australia,2024,663.86151535,6367.012690335186,7030.874205685186,14.904167233363285,Liquid methanol at STP
FTdiesel,LTE,DAC,grid,LTE_H_DAC_C_grid_E,India,2024,429.91644610000003,4504.4946043387135,4934.411050438714,20.258779684358082,Liquid methanol at STP
FTdiesel,LTE,DAC,grid,LTE_H_DAC_C_grid_E,Indonesia,2024,431.95075105,2579.3367959244133,3011.287546974413,20.258779684358082,Liquid methanol at STP
FTdiesel,LTE,DAC,grid,LTE_H_DAC_C_grid_E,Philippines,2024,471.28064674999996,5274.655622546838,5745.936269296837,16.928471940446684,Liquid methanol at STP
FTdiesel,LTE,DAC,grid,LTE_H_DAC_C_grid_E,Singapore,2024,560.7900645499999,10915.308695171543,11476.098759721543,12.357461311548683,Liquid methanol at STP
FTdiesel,LTE,DAC,grid,LTE_H_DAC_C_grid_E,Thailand,2024,442.1222758,4087.0870778271915,4529.209353627191,14.936817309283988,Liquid methanol at STP
FTdiesel,LTE,DAC,grid,LTE_H_DAC_C_grid_E,China,2024,534.3441002,3305.26491153734,3839.60901173734,15.981619738746382,Liquid methanol at STP
FTdiesel,LTE,DAC,grid,LTE_H_DAC_C_grid_E,Japan,2024,728.9592737500001,6544.888177027611,7273.847450777611,12.814562374438484,Liquid methanol at STP
FTdiesel,LTE,DAC,grid,LTE_H_DAC_C_grid_E,Russia,2024,482.8083748,3422.9445644039647,3905.7529392039646,11.377959033927688,Liquid methanol at STP
FTdiesel,LTE,DAC,grid,LTE_H_DAC_C_grid_E,South Korea,2024,779.8168975,4150.184917045958,4930.001814545958,11.051458274720684,Liquid methanol at STP
FTdiesel,LTE,DAC,grid,LTE_H_DAC_C_grid_E,Taipei,2024,573.6739959,1044.7371103238172,1618.4111062238171,-1.8779717898765156,Liquid methanol at STP
FTdiesel,LTE,DAC,grid,LTE_H_DAC_C_grid_E,South Arabia,2024,720.1439523000001,3140.687947335144,3860.8318996351445,20.095529304754585,Liquid methanol at STP
FTdiesel,LTE,DAC,grid,LTE_H_DAC_C_grid_E,South Africa,2024,825.9278097,3147.0349787791447,3972.962788479145,20.095529304754585,Liquid methanol at STP
FTdiesel,LTE,DAC,grid,LTE_H_DAC_C_grid_E,Turkey,2024,493.6580012,4602.244793991417,5095.902795191418,12.161560856024487,Liquid methanol at STP
